"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 11:04:12 IST 2019","Wed Jun 26 11:04:34 IST 2019","21939","","Login MyStake Application","","Login MyStake Application","Verify Successful Login","Verify Successful Login",""
"failed","Wed Jun 26 11:04:34 IST 2019","Wed Jun 26 11:05:14 IST 2019","39593","","Login MyStake Application","","Login MyStake Application","Verify Invalid Credentials","Verify Invalid Credentials",""
